Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,151.41000366210938,152.0,147.77000427246094,150.88999938964844,146.8545379638672,737000
2019-11-01,150.64999389648438,153.19000244140625,150.4600067138672,152.88999938964844,149.76380920410156,757900
2019-11-04,154.42999267578125,155.47000122070312,153.2899932861328,155.33999633789062,152.1636962890625,648400
2019-11-05,156.17999267578125,158.85000610351562,156.17999267578125,158.2899932861328,155.0533905029297,730300
2019-11-06,157.83999633789062,158.8800048828125,156.83999633789062,157.8699951171875,154.64198303222656,812300
2019-11-07,159.1999969482422,160.6300048828125,157.7100067138672,157.74000549316406,154.51463317871094,1726500
2019-11-08,157.7899932861328,158.80999755859375,156.55999755859375,158.5399932861328,155.29827880859375,860100
2019-11-11,156.67999267578125,159.38999938964844,156.67999267578125,158.3800048828125,155.14157104492188,597600
2019-11-12,158.30999755859375,159.91000366210938,158.0800018310547,158.89999389648438,155.6509246826172,1085600
2019-11-13,156.7100067138672,159.1300048828125,155.8300018310547,158.38999938964844,155.15135192871094,1359200
2019-11-14,157.8300018310547,159.83999633789062,157.60000610351562,159.32000732421875,156.0623321533203,798800
2019-11-15,160.5500030517578,160.9600067138672,159.47999572753906,160.1699981689453,156.8949737548828,785000
2019-11-18,159.25,159.57000732421875,157.64999389648438,158.25999450683594,155.0240020751953,655700
2019-11-19,158.92999267578125,159.8699951171875,157.55999755859375,159.00999450683594,155.7586669921875,791500
2019-11-20,158.61000061035156,159.30999755859375,156.2899932861328,158.3800048828125,155.14157104492188,709000
2019-11-21,158.77999877929688,158.77999877929688,156.25,158.0500030517578,154.8183135986328,694200
2019-11-22,158.86000061035156,160.4199981689453,158.1999969482422,159.77000427246094,156.5031280517578,695200
2019-11-25,160.14999389648438,162.24000549316406,159.11000061035156,161.77999877929688,158.47203063964844,764400
2019-11-26,161.39999389648438,161.57000732421875,159.92999267578125,161.02000427246094,157.7275848388672,957200
2019-11-27,162.10000610351562,163.63999938964844,161.5,163.38999938964844,160.0491180419922,597500
2019-11-29,163.5,164.97999572753906,163.02999877929688,163.8699951171875,160.519287109375,404700
2019-12-02,164.6999969482422,165.77999877929688,162.4600067138672,162.55999755859375,159.236083984375,1254700
2019-12-03,160.02999877929688,160.52999877929688,158.19000244140625,159.97999572753906,156.70883178710938,889400
2019-12-04,160.6699981689453,162.6999969482422,160.6699981689453,162.0399932861328,158.72671508789062,687700
2019-12-05,162.89999389648438,163.19000244140625,161.85000610351562,162.77999877929688,159.4515838623047,755200
2019-12-06,165.02999877929688,165.88999938964844,164.47999572753906,164.89999389648438,161.52822875976562,795100
2019-12-09,164.63999938964844,165.3800048828125,164.05999755859375,164.82000732421875,161.44989013671875,762900
2019-12-10,163.8699951171875,165.4199981689453,163.72000122070312,165.2100067138672,161.83189392089844,938100
2019-12-11,165.0,165.7100067138672,163.61000061035156,164.50999450683594,161.14620971679688,663000
2019-12-12,164.4199981689453,169.08999633789062,164.24000549316406,168.42999267578125,164.98605346679688,773600
2019-12-13,168.3800048828125,169.2100067138672,166.27999877929688,167.44000244140625,164.0163116455078,974600
2019-12-16,169.3699951171875,169.74000549316406,167.3800048828125,167.44000244140625,164.0163116455078,928400
2019-12-17,167.22999572753906,167.6999969482422,166.00999450683594,167.33999633789062,163.91835021972656,902300
2019-12-18,167.5,168.27000427246094,166.85000610351562,167.25999450683594,163.83999633789062,894800
2019-12-19,167.5800018310547,168.02999877929688,166.14999389648438,167.27999877929688,163.8595733642578,782200
2019-12-20,168.7100067138672,168.72999572753906,167.6199951171875,168.08999633789062,164.65301513671875,1779800
2019-12-23,168.25999450683594,168.4600067138672,167.02000427246094,167.27999877929688,163.8595733642578,672600
2019-12-24,167.3000030517578,167.83999633789062,166.9199981689453,167.72000122070312,164.29058837890625,226200
2019-12-26,167.47999572753906,168.4499969482422,167.33999633789062,167.67999267578125,164.2513885498047,443000
2019-12-27,167.86000061035156,167.86000061035156,166.5800018310547,166.7100067138672,163.30123901367188,566600
2019-12-30,167.57000732421875,167.82000732421875,165.9199981689453,166.07000732421875,162.67431640625,417500
2019-12-31,165.89999389648438,167.5500030517578,165.77000427246094,166.5800018310547,163.17388916015625,603500
2020-01-02,167.5399932861328,169.24000549316406,166.69000244140625,169.22999572753906,165.76971435546875,822100
2020-01-03,167.97999572753906,168.2100067138672,165.7899932861328,167.1199951171875,163.7028350830078,581300
2020-01-06,165.4199981689453,167.8000030517578,165.22000122070312,167.6699981689453,164.24159240722656,748700
2020-01-07,166.49000549316406,167.30999755859375,165.57000732421875,165.64999389648438,162.26290893554688,1009200
2020-01-08,165.91000366210938,168.6999969482422,165.91000366210938,167.13999938964844,163.72242736816406,657700
2020-01-09,169.10000610351562,169.64999389648438,167.8300018310547,168.8699951171875,165.41705322265625,594400
2020-01-10,168.9199981689453,169.92999267578125,167.5,169.16000366210938,165.7011260986328,749000
2020-01-13,169.82000732421875,170.8000030517578,168.89999389648438,169.72999572753906,166.2594757080078,692600
2020-01-14,169.72999572753906,170.30999755859375,167.91000366210938,168.4199981689453,164.97625732421875,588200
2020-01-15,167.4600067138672,169.47999572753906,167.02000427246094,168.2899932861328,164.8489227294922,581900
2020-01-16,169.33999633789062,171.9499969482422,169.33999633789062,171.9499969482422,168.43409729003906,748500
2020-01-17,172.49000549316406,173.75,171.63999938964844,172.42999267578125,168.90426635742188,777100
2020-01-21,171.25,172.08999633789062,170.16000366210938,170.25,166.7688446044922,540300
2020-01-22,171.4600067138672,172.3300018310547,171.0,171.13999938964844,167.64065551757812,526100
2020-01-23,169.97000122070312,171.47000122070312,168.02000427246094,171.3800048828125,167.87574768066406,751300
2020-01-24,171.39999389648438,171.47999572753906,166.5,167.57000732421875,164.14364624023438,558900
2020-01-27,163.55999755859375,164.77999877929688,162.0399932861328,162.39999389648438,159.07936096191406,754500
2020-01-28,164.02999877929688,165.75999450683594,163.47000122070312,165.1199951171875,161.7437286376953,619700
2020-01-29,166.19000244140625,167.8699951171875,165.3699951171875,166.0399932861328,162.64492797851562,710900
2020-01-30,167.24000549316406,170.77000427246094,165.64999389648438,170.50999450683594,167.02352905273438,887000
2020-01-31,168.9600067138672,168.9600067138672,164.72000122070312,165.41000366210938,162.02781677246094,932900
2020-02-03,166.97999572753906,169.72000122070312,166.4600067138672,167.4600067138672,164.03590393066406,864900
2020-02-04,171.39999389648438,174.4499969482422,171.39999389648438,173.27999877929688,169.73687744140625,681200
2020-02-05,175.0,176.58999633789062,173.67999267578125,176.05999755859375,172.4600372314453,649800
2020-02-06,177.50999450683594,177.50999450683594,175.1699981689453,175.91000366210938,172.3131103515625,521900
2020-02-07,174.52000427246094,176.30999755859375,174.14999389648438,175.32000732421875,171.7351837158203,461200
2020-02-10,174.4600067138672,175.8699951171875,173.9600067138672,175.77000427246094,172.1759796142578,454500
2020-02-11,176.64999389648438,179.35000610351562,176.22999572753906,177.6300048828125,173.99794006347656,462500
2020-02-12,178.58999633789062,179.57000732421875,178.02999877929688,178.63999938964844,174.98728942871094,409300
2020-02-13,176.52999877929688,178.6199951171875,175.86000061035156,178.39999389648438,175.70626831054688,514100
2020-02-14,178.1199951171875,179.00999450683594,177.5500030517578,178.82000732421875,176.11993408203125,525100
2020-02-18,177.89999389648438,179.47999572753906,175.75,177.2899932861328,174.61302185058594,994900
2020-02-19,178.5500030517578,179.4199981689453,177.82000732421875,179.0399932861328,176.33660888671875,559100
2020-02-20,178.25999450683594,180.85000610351562,177.97999572753906,179.72000122070312,177.00633239746094,654900
2020-02-21,178.63999938964844,178.9499969482422,174.6699981689453,175.42999267578125,172.78111267089844,595300
2020-02-24,168.52000427246094,169.3800048828125,163.2899932861328,164.47000122070312,161.9866180419922,846800
2020-02-25,164.88999938964844,165.33999633789062,155.02999877929688,156.22999572753906,153.8710174560547,1085800
2020-02-26,156.38999938964844,160.36000061035156,156.0,156.0,153.64450073242188,1031900
2020-02-27,151.5800018310547,153.92999267578125,146.1199951171875,146.17999267578125,143.97276306152344,1487200
2020-02-28,139.30999755859375,142.83999633789062,136.49000549316406,141.3000030517578,139.16647338867188,2050400
2020-03-02,142.1300048828125,150.88999938964844,139.49000549316406,150.86000061035156,148.58212280273438,1482600
2020-03-03,149.47000122070312,150.33999633789062,139.44000244140625,140.55999755859375,138.4376220703125,1433500
2020-03-04,143.41000366210938,145.36000061035156,139.22000122070312,144.4600067138672,142.2787628173828,1243500
2020-03-05,138.36000061035156,139.41000366210938,132.63999938964844,134.50999450683594,132.47897338867188,1456000
2020-03-06,128.25999450683594,131.3300018310547,123.7699966430664,126.5999984741211,124.68842315673828,1588900
2020-03-09,114.16000366210938,118.4000015258789,107.62999725341797,109.12999725341797,107.48220825195312,1498400
